14:43:53.144 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'dataSource'
14:43:53.144 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari'
14:43:53.146 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'dataSource' via factory method to bean named 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties'
14:43:53.157 | DEBUG | traceId  | session  | user  | com.zaxxer.hikari.HikariConfig - Driver class org.postgresql.Driver found in Thread context class loader sun.misc.Launcher$AppClassLoader@42a57993
14:43:53.213 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker'
14:43:53.215 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker' via constructor to bean named 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties'
14:43:53.215 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker' via constructor to bean named 'org.springframework.web.context.support.GenericWebApplicationContext@293d0107'
14:43:53.238 | DEBUG | traceId  | session  | user  | com.zaxxer.hikari.HikariConfig - HikariPool-1 - configuration:
14:43:53.244 | DEBUG | traceId  | session  | user  | com.zaxxer.hikari.HikariConfig - allowPoolSuspension.............false
14:43:53.245 | DEBUG | traceId  | session  | user  | com.zaxxer.hikari.HikariConfig - autoCommit......................true
14:43:53.245 | DEBUG | traceId  | session  | user  | com.zaxxer.hikari.HikariConfig - catalog.........................none
14:43:53.246 | DEBUG | traceId  | session  | user  | com.zaxxer.hikari.HikariConfig - connectionInitSql...............none
14:43:53.246 | DEBUG | traceId  | session  | user  | com.zaxxer.hikari.HikariConfig - connectionTestQuery.............none
14:43:53.246 | DEBUG | traceId  | session  | user  | com.zaxxer.hikari.HikariConfig - connectionTimeout...............30000
14:43:53.246 | DEBUG | traceId  | session  | user  | com.zaxxer.hikari.HikariConfig - dataSource......................none
